ClassId,Image,Category,CommonName,FamilyName,ScientificName,Height,Weight,Habitat,Lifespan,Description
197,Image/train/CUBAN TODY/001.jpg,Bird,Cuban Tody,Todidae,Todus multicolor,10 cm,5-6 g,Forests and woodlands,Not Available Right Now,"The Cuban Tody is a bird species found in Cuba and nearby islands. With its vibrant plumage and a distinctive appearance, it is often seen in forests and wooded areas. Cuban Todies primarily feed on insects. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss, and promoting sustainable land use practices to protect the unique biodiversity of the Caribbean region."
198,Image/train/CUBAN TROGON/001.jpg,Bird,Cuban Trogon,Trogonidae,Priotelus temnurus,25-30 cm,51-84 g,Forests and wooded areas,Not Available Right Now,"The Cuban Trogon is a bird species found in Cuba and nearby islands. With its striking plumage and a preference for forests, it is often considered a national symbol. Cuban Trogons primarily feed on insects and fruits. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss, and promoting sustainable land use practices to protect the unique flora and fauna of the Caribbean region."
199,Image/train/CURL CRESTED ARACURI/001.jpg,Bird,Curl-crested Aracuri,Ramphastidae,Pteroglossus beauharnaesii,40-42 cm,200-280 g,Rainforests and woodlands,15 to 20 years,"The Curl-crested Aracuri, also known as the Curl-crested Aracari, is a bird species found in parts of South America. With its distinctive appearance and a curled crest, it inhabits tropical forests. Curl-crested Aracuris primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation, understanding their breeding ecology, and addressing potential threats such as habitat loss and illegal pet trade."
200,Image/train/D-ARNAUDS BARBET/001.jpg,Bird,D'Arnaud's Barbet,Lybiidae,Trachyphonus darnaudii,20-22 cm,42-63 g,Woodlands and savannas,8 to 15 years,"D'Arnaud's Barbet is a bird species found in parts of East Africa. With its colorful plumage and distinctive call, it inhabits wooded areas. D'Arnaud's Barbets primarily feed on fruits and insects. Conservation efforts focus on preserving their natural habitats from deforestation, addressing potential threats such as habitat fragmentation, and promoting sustainable land use practices to support the diverse avian fauna of the region."
201,Image/train/DALMATIAN PELICAN/001.jpg,Bird,Dalmatian Pelican,Pelecanidae,Pelecanus crispus,160-183 cm,9-15 kg,Lakes and wetlands,Up to 20 years,"The Dalmatian Pelican is a large bird species found in Europe and Asia. With its distinctive appearance and a large bill, it is often associated with freshwater lakes. Dalmatian Pelicans primarily feed on fish. Conservation efforts focus on protecting their breeding habitats, addressing potential threats such as habitat degradation, and promoting sustainable fisheries management practices to ensure the availability of suitable feeding grounds for these majestic birds."
202,Image/train/DARJEELING WOODPECKER/001.jpg,Bird,Darjeeling Woodpecker,Picidae,Dendrocopos darjellensis,22-25 cm,60-90 g,Forests and wooded areas,4 to 12 years,"The Darjeeling Woodpecker is a bird species found in parts of Southeast Asia, particularly in the eastern Himalayas. With its vibrant plumage, it inhabits montane forests. Darjeeling Woodpeckers primarily feed on insects. Conservation efforts focus on preserving their montane habitats from deforestation, addressing potential threats such as habitat degradation, and promoting sustainable forestry practices to protect the unique biodiversity of the eastern Himalayan region."
203,Image/train/DARK EYED JUNCO/001.jpg,Bird,Dark-eyed Junco,Emberizidae,Junco hyemalis,14-17 cm,18-30 g,Coniferous and mixed forests,3-5 years,"The Dark-eyed Junco is a bird species found in North America. With its diverse plumage variations, it is often associated with coniferous and mixed forests. Dark-eyed Juncos primarily feed on seeds and insects. Conservation efforts focus on preserving their forest habitats, addressing potential threats such as habitat loss, and promoting awareness about the importance of providing suitable winter feeding areas to support their populations during migration."
204,Image/train/DAURIAN REDSTART/001.jpg,Bird,Daurian Redstart,Muscicapidae,Phoenicurus auroreus,13-15 cm,14-20 g,Forests and scrublands,2-3 years,"The Daurian Redstart is a bird species found in parts of Asia, including Japan and China. With its striking plumage, it is often seen in open woodlands and urban areas. Daurian Redstarts primarily feed on insects and small invertebrates. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss due to urbanization, and promoting awareness about the importance of maintaining green spaces for urban bird species."
205,Image/train/DEER/03d871997f.jpg,Mammal,Deer,Cervidae,Various species,Varies,Varies,"Various habitats including forests, grasslands, and mountains",Varies,"Deer are ungulate mammals found in various habitats worldwide. With a wide range of species, deer play important roles in ecosystems as herbivores and prey for carnivores. Conservation efforts related to deer involve managing populations to prevent overgrazing, protecting their habitats from fragmentation, and addressing threats such as illegal hunting. Sustainable deer management is crucial for maintaining ecological balance and supporting biodiversity in diverse ecosystems."
206,Image/train/DEMOISELLE CRANE/001.jpg,Bird,Demoiselle Crane,Gruidae,Anthropoides virgo,85-100 cm,2-4 kg,Grasslands and wetlands,Up to 25 years,"The Demoiselle Crane is a bird species found in parts of Europe, Asia, and Africa. With its elegant appearance and migratory behavior, it is associated with grasslands and wetlands. Demoiselle Cranes primarily feed on grains and small invertebrates. Conservation efforts focus on protecting their breeding and feeding grounds, addressing potential threats such as habitat loss, and promoting sustainable agriculture practices to ensure the availability of suitable habitats for these migratory birds."
207,Image/train/DOG/01c6b7230c.jpg,Mammal,Dog,Canidae,Canis lupus familiaris,Varies,Varies,Various habitats depending on breed,Varies,"Dogs are domesticated mammals known for their diverse breeds and roles as companions, guardians, and working animals. Conservation efforts related to dogs involve responsible pet ownership, addressing issues such as stray populations, promoting spaying and neutering programs, and ensuring the humane treatment of dogs. Responsible dog ownership is crucial for minimizing the impact of domestic dogs on wildlife and maintaining a harmonious relationship between humans and their canine companions."
208,Image/train/DOLPHIN/03fbc036a0.jpg,Mammal,Dolphin,Delphinidae,Various species,Varies,Varies,Oceans and seas,Varies,"Dolphins are marine mammals found in oceans worldwide. With their intelligent and social behavior, dolphins play important roles in marine ecosystems. Conservation efforts related to dolphins involve protecting their habitats from pollution, addressing threats such as accidental entanglement in fishing gear, and promoting responsible marine tourism practices. Sustainable conservation measures are essential for ensuring the well-being of dolphin populations and preserving healthy marine ecosystems."
209,Image/train/DONKEY/0409cd9133.jpg,Mammal,Donkey,Equidae,Equus africanus asinus,Varies,Varies,Various habitats depending on domestication,25-30 years,"Donkeys are domesticated mammals known for their use as working animals in various cultures. With a long history of service, donkeys contribute to agriculture, transportation, and other human activities. Conservation efforts related to donkeys involve promoting their welfare, preventing overworking, and addressing issues such as neglect and abandonment. Responsible care and management practices are essential for ensuring the well-being of donkeys and recognizing their valuable roles in human societies."
210,Image/train/DOUBLE BARRED FINCH/001.jpg,Bird,Double-barred Finch,Estrildidae,Taeniopygia bichenovii,10-11 cm,10-15 g,Grasslands and open habitats,5-9 years,"The Double-barred Finch is a bird species found in Australia. With its distinctive plumage, it inhabits grasslands and open woodlands. Double-barred Finches primarily feed on seeds and small invertebrates. Conservation efforts focus on preserving their natural habitats, addressing potential threats such as habitat loss due to agriculture, and promoting sustainable land use practices to support the unique avian fauna of Australia's diverse ecosystems."
211,Image/train/DOUBLE BRESTED CORMARANT/001.jpg,Bird,Double-crested Cormorant,Phalacrocoracidae,Phalacrocorax auritus,70-90 cm,1.4-2.5 kg,Coastal areas and inland waters,Up to 17 years,"The Double-crested Cormorant is a bird species found in North America. With its dark plumage and a distinctive double crest during the breeding season, it is often associated with coastal and inland waters. Double-crested Cormorants primarily feed on fish. Conservation efforts focus on managing their populations, addressing potential threats such as habitat degradation, and promoting awareness about the ecological roles of cormorants in maintaining balanced aquatic ecosystems."
